genus,genus_lower,observed_in_canada,ectomycorrhiza_lineage_template,ectomycorrhiza_exploration_type_template
Tirmania,tirmania,FALSE,/terfezia-peziza_depressa,short-distance_coarse
Ulurua,ulurua,FALSE,/terfezia-peziza_depressa,short-distance_coarse
Sphaerosoma,sphaerosoma,FALSE,/marcelleina-peziza_gerardii,unknown
Pulvinula,pulvinula,TRUE,/pulvinula,short-distance_delicate
Aleurina,aleurina,FALSE,/aleurina,contact
Genabea,genabea,FALSE,/genea-humaria,short-distance_coarse
Genea,genea,TRUE,/genea-humaria,short-distance_coarse
Geopora,geopora,TRUE,/geopora,short-distance_coarse
Gilkeya,gilkeya,TRUE,/genea-humaria,short-distance_coarse
Humaria,humaria,TRUE,/genea-humaria,short-distance_coarse
Myrmecocystis,myrmecocystis,TRUE,/genea-humaria,short-distance_coarse
Otidea,otidea,TRUE,/otidea,short-distance_coarse
Otideopsis,otideopsis,FALSE,/otidea,unknown
Parascutellinia,parascutellinia,TRUE,/genea-humaria,short-distance_coarse
Phaeangium,phaeangium,FALSE,/geopora,short-distance_coarse
Picoa,picoa,TRUE,/geopora,short-distance_coarse
Pustularia,pustularia,TRUE,/pustularia,short-distance_coarse
Rhodoscypha,rhodoscypha,TRUE,/rhodoscypha,unknown
Sepultaria,sepultaria,FALSE,/geopora,short-distance_coarse
Sphaerosporella,sphaerosporella,TRUE,/sphaerosporella,short-distance_coarse
Trichophaea,trichophaea,TRUE,/sphaerosporella (T. woolhopeia clade) or /wilcoxina (T. hybrida group),short-distance_coarse
Wilcoxina,wilcoxina,TRUE,/wilcoxina,short-distance_coarse
Tarzetta,tarzetta,TRUE,/tarzetta,contact
Choiromyces,choiromyces,TRUE,/tuber-helvella,contact
Dingleya,dingleya,FALSE,/tuber-helvella,contact
Labyrinthomyces,labyrinthomyces,FALSE,/tuber-helvella,contact
Nothojafnea,nothojafnea,FALSE,/tuber-helvella,contact
Paradoxa,paradoxa,FALSE,/tuber-helvella,unknown
Reddellomyces,reddellomyces,FALSE,/tuber-helvella,contact
Tuber,tuber,TRUE,/tuber-helvella,short-distance_delicate
Gigasperma,gigasperma,FALSE,/cortinarius,medium-distance_fringe
Amanita,amanita,TRUE,/amanita,contact
Amanitopsis,amanitopsis,FALSE,/amanita,unknown
Amarrendia,amarrendia,FALSE,/amanita,unknown
Catathelasma,catathelasma,TRUE,/catathelasma,mat
Descolea,descolea,FALSE,/descolea,short-distance_delicate
Descomyces,descomyces,FALSE,/descolea,short-distance_delicate
Setchelliogaster,setchelliogaster,FALSE,/descolea,short-distance_delicate
Timgrovea,timgrovea,FALSE,/descolea,short-distance_delicate
Phylloporopsis,phylloporopsis,FALSE,/boletus,long-distance
Guyanagarika,guyanagarika,FALSE,/guyanagarica_(/agaricales1),medium-distance_fringe
Austrogaster,austrogaster,FALSE,/cortinarius,medium-distance_fringe
Cortinarius,cortinarius,TRUE,/cortinarius,medium-distance_fringe
Cuphocybe,cuphocybe,FALSE,/cortinarius,medium-distance_fringe
Dermocybe,dermocybe,FALSE,/cortinarius,medium-distance_fringe
Protoglossum,protoglossum,FALSE,/cortinarius,medium-distance_fringe
Quadrispora,quadrispora,FALSE,/cortinarius,medium-distance_fringe
Stephanopus,stephanopus,FALSE,/cortinarius,medium-distance_fringe
Thaxterogaster,thaxterogaster,TRUE,/cortinarius,medium-distance_fringe
Hydnangium,hydnangium,FALSE,/laccaria,short-distance_delicate
Laccaria,laccaria,TRUE,/laccaria,short-distance_delicate
Maccagnia,maccagnia,FALSE,/laccaria,short-distance_delicate
Podohydnangium,podohydnangium,FALSE,/laccaria,short-distance_delicate
Hygrophorus,hygrophorus,TRUE,/hygrophorus,contact
Alnicola,alnicola,TRUE,/hebeloma-alnicola,short-distance_delicate
Anamika,anamika,FALSE,/hebeloma-alnicola,short-distance_delicate
Hebeloma,hebeloma,TRUE,/hebeloma-alnicola,short-distance_delicate
Hymenogaster,hymenogaster,TRUE,/hebeloma-alnicola,short-distance_delicate
Naucoria,naucoria,TRUE,/hebeloma-alnicola,short-distance_delicate
Phaeocollybia,phaeocollybia,TRUE,/phaeocollybia,unknown
Psathyloma,psathyloma,FALSE,/hebeloma-alnicola,short-distance_delicate
Wakefieldia,wakefieldia,FALSE,/hebeloma-alnicola,short-distance_delicate
Astrosporina,astrosporina,FALSE,/inocybe,short-distance_delicate
Auritella,auritella,FALSE,/inocybe,contact
Inocybe,inocybe,TRUE,/inocybe,short-distance_delicate
Mallocybe,mallocybe,TRUE,/inocybe,short-distance_delicate
Tubariomyces,tubariomyces,FALSE,/inocybe,short-distance_delicate
Lyophyllum,lyophyllum,TRUE,/paralyophyllum,medium-distance_fringe
Porpoloma,porpoloma,FALSE,/porpoloma,medium-distance_fringe
Tricholoma,tricholoma,TRUE,/tricholoma,medium-distance_fringe
Parastereopsis,parastereopsis,FALSE,/cantharellus,unknown
Amphinema,amphinema,TRUE,/amphinema-tylospora,medium-distance_fringe
Byssocorticium,byssocorticium,TRUE,/byssocorticium,medium-distance_fringe
Piloderma,piloderma,TRUE,/piloderma,medium-distance_fringe
Tretomyces,tretomyces,TRUE,/piloderma,medium-distance_fringe
Tylospora,tylospora,TRUE,/amphinema-tylospora,short-distance_delicate
Afroboletus,afroboletus,FALSE,/boletus,long-distance
Afrocastellanoa,afrocastellanoa,FALSE,/boletus,long-distance
Alessioporus,alessioporus,FALSE,/boletus,long-distance
Aureoboletus,aureoboletus,TRUE,/boletus,long-distance
Australopilus,australopilus,FALSE,/boletus,long-distance
Austroboletus,austroboletus,TRUE,/boletus,long-distance
Baorangia,baorangia,FALSE,/boletus,long-distance
Binderoboletus,binderoboletus,FALSE,/boletus,long-distance
Boletellus,boletellus,FALSE,/boletus,long-distance
Boletochaete,boletochaete,FALSE,/boletus,long-distance
Boletus,boletus,TRUE,/boletus,long-distance
Borofutus,borofutus,FALSE,/boletus,long-distance
Bothia,bothia,FALSE,/boletus,long-distance
Butyriboletus,butyriboletus,TRUE,/boletus,long-distance
Caloboletus,caloboletus,TRUE,/boletus,long-distance
Carolinigaster,carolinigaster,FALSE,/boletus,long-distance
Castellanea,castellanea,FALSE,/boletus,long-distance
Chamonixia,chamonixia,TRUE,/boletus,long-distance
Chiua,chiua,FALSE,/boletus,long-distance
Corneroboletus,corneroboletus,FALSE,/boletus,long-distance
Costatisporus,costatisporus,FALSE,/boletus,long-distance
Crocinoboletus,crocinoboletus,FALSE,/boletus,long-distance
Cupreoboletus,cupreoboletus,FALSE,/boletus,long-distance
Cyanoboletus,cyanoboletus,FALSE,/boletus,long-distance
Durianella,durianella,FALSE,/boletus,long-distance
Erythrophylloporus,erythrophylloporus,FALSE,/boletus,long-distance
Exsudoporus,exsudoporus,FALSE,/boletus,long-distance
Fistulinella,fistulinella,FALSE,/boletus,long-distance
Gastroboletus,gastroboletus,FALSE,/boletus,long-distance
Gastroleccinum,gastroleccinum,FALSE,/boletus,long-distance
Gastrosuillus,gastrosuillus,FALSE,/suillus-rhizopogon,long-distance
Guyanaporus,guyanaporus,FALSE,/boletus,long-distance
Gymnogaster,gymnogaster,FALSE,/boletus,long-distance
Harrya,harrya,TRUE,/boletus,long-distance
Heimiella,heimiella,FALSE,/boletus,long-distance
Heimioporus,heimioporus,FALSE,/boletus,long-distance
Heliogaster,heliogaster,FALSE,/boletus,long-distance
Hemileccinum,hemileccinum,TRUE,/boletus,long-distance
Hortiboletus,hortiboletus,FALSE,/boletus,long-distance
Hourangia,hourangia,FALSE,/boletus,long-distance
Hymenoboletus,hymenoboletus,FALSE,/boletus,long-distance
Imleria,imleria,FALSE,/boletus,long-distance
Imperator,imperator,FALSE,/boletus,long-distance
Jimtrappea,jimtrappea,FALSE,/boletus,long-distance
Kombocles,kombocles,FALSE,/boletus,long-distance
Lanmaoa,lanmaoa,FALSE,/boletus,long-distance
Leccinellum,leccinellum,TRUE,/boletus,long-distance
Leccinum,leccinum,TRUE,/boletus,long-distance
Mackintoshia,mackintoshia,FALSE,/boletus,long-distance
Mucilopilus,mucilopilus,FALSE,/boletus,long-distance
Mycoamaranthus,mycoamaranthus,FALSE,/boletus,long-distance
Neoboletus,neoboletus,FALSE,/boletus,long-distance
Nigroboletus,nigroboletus,FALSE,/boletus,long-distance
Octaviania,octaviania,TRUE,/boletus,long-distance
Parvixerocomus,parvixerocomus,FALSE,/boletus,long-distance
Paxillogaster,paxillogaster,FALSE,/boletus,long-distance
Phylloboletellus,phylloboletellus,FALSE,/boletus,long-distance
Phyllobolites,phyllobolites,FALSE,/ramaria-gautieria,mat
Phylloporus,phylloporus,TRUE,/boletus,long-distance
Porphyrellus,porphyrellus,TRUE,/boletus,long-distance
Pseudoaustroboletus,pseudoaustroboletus,FALSE,/boletus,long-distance
Pseudoboletus,pseudoboletus,TRUE,/boletus,long-distance
Pulchroboletus,pulchroboletus,TRUE,/boletus,long-distance
